date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:26:06	66/66	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2020:24:06%20GMT	https://goturkiye.com/robots.txt		(from )
02:26:07	350782/350782	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2020:26:06%20GMT	https://goturkiye.com/	/Users/huayuangroup/websites/Goturkeye/goturkiye.com/index.html	(from )
02:26:08	350981/350981	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2020:26:07%20GMT	https://goturkiye.com/homepage	/Users/huayuangroup/websites/Goturkeye/goturkiye.com/homepage.html	(from https://goturkiye.com/)
02:26:09	72518/72518	---M--	200	added ('OK')	image/jpeg	etag:%22224aa46ee01794d0a2fc0d31dc032f5a%22	https://cdn.goturkiye.com/goturkey/1-platform-anasayfa-meta-image-2-1.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkey/1-platform-anasayfa-meta-image-2-1.jpg	(from https://goturkiye.com/)
02:26:09	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2024%20Feb%202023%2020:26:09%20GMT	https://www.googletagmanager.com/gtm.js?id=	/Users/huayuangroup/websites/Goturkeye/www.googletagmanager.com/gtm.25445.delayed	(from https://goturkiye.com/)
02:26:11	228567/228567	---MCZ	200	added ('OK')	text/css	etag:W/%2237d0a-1865429caa0%22	https://goturkiye.com/_next/static/css/ca5f1c4c47419aee8d1b.css	/Users/huayuangroup/websites/Goturkeye/goturkiye.com/_next/static/css/ca5f1c4c47419aee8d1b.css	(from https://goturkiye.com/)
02:26:12	2035/2035	---MCZ	200	added ('OK')	application/javascript	etag:W/%227f3-18583f44f78%22	https://goturkiye.com/_next/static/chunks/webpack-277c75ec70a3d22a400d.js	/Users/huayuangroup/websites/Goturkeye/goturkiye.com/_next/static/chunks/webpack-277c75ec70a3d22a400d.js	(from https://goturkiye.com/)
02:26:13	129204/129204	---MCZ	200	added ('OK')	application/javascript	etag:W/%221f8b4-18583f44f78%22	https://goturkiye.com/_next/static/chunks/framework-6b728500358bd9f227e4.js	/Users/huayuangroup/websites/Goturkeye/goturkiye.com/_next/static/chunks/framework-6b728500358bd9f227e4.js	(from https://goturkiye.com/)
02:26:14	76738/76738	---MCZ	200	added ('OK')	application/javascript	etag:W/%2212bc2-18583f44f78%22	https://goturkiye.com/_next/static/chunks/main-87926142532047698e2a.js	/Users/huayuangroup/websites/Goturkeye/goturkiye.com/_next/static/chunks/main-87926142532047698e2a.js	(from https://goturkiye.com/)
02:26:14	6617/6617	---MCZ	200	added ('OK')	application/javascript	etag:W/%2219d9-185e30bb896%22	https://goturkiye.com/_next/static/chunks/pages/_app-0aec90beb03da347de96.js	/Users/huayuangroup/websites/Goturkeye/goturkiye.com/_next/static/chunks/pages/_app-0aec90beb03da347de96.js	(from https://goturkiye.com/)
02:26:16	186811/186811	---MCZ	200	added ('OK')	application/javascript	etag:W/%222d9bb-18583f44f78%22	https://goturkiye.com/_next/static/chunks/2852872c-c42f3bb57c7e3990c5a9.js	/Users/huayuangroup/websites/Goturkeye/goturkiye.com/_next/static/chunks/2852872c-c42f3bb57c7e3990c5a9.js	(from https://goturkiye.com/)
02:26:17	60209/60209	---MCZ	200	added ('OK')	application/javascript	etag:W/%22eb31-18583f44f79%22	https://goturkiye.com/_next/static/chunks/75fc9c18-36f01fedf8adc5f332b1.js	/Users/huayuangroup/websites/Goturkeye/goturkiye.com/_next/static/chunks/75fc9c18-36f01fedf8adc5f332b1.js	(from https://goturkiye.com/)
02:26:18	521855/521855	---MCZ	200	added ('OK')	application/javascript	etag:W/%227f67f-1859deb40c8%22	https://goturkiye.com/_next/static/chunks/158-3244e016a498a228e459.js	/Users/huayuangroup/websites/Goturkeye/goturkiye.com/_next/static/chunks/158-3244e016a498a228e459.js	(from https://goturkiye.com/)
02:26:19	518033/518033	---MCZ	200	added ('OK')	application/javascript	etag:W/%227e791-1864b3d9b95%22	https://goturkiye.com/_next/static/chunks/271-df6997505c9fedab6851.js	/Users/huayuangroup/websites/Goturkeye/goturkiye.com/_next/static/chunks/271-df6997505c9fedab6851.js	(from https://goturkiye.com/)
02:26:19	7359/7359	---MCZ	200	added ('OK')	application/javascript	etag:W/%221cbf-1864ae2b091%22	https://goturkiye.com/_next/static/chunks/pages/index-7647b3bce5a2b2d30222.js	/Users/huayuangroup/websites/Goturkeye/goturkiye.com/_next/static/chunks/pages/index-7647b3bce5a2b2d30222.js	(from https://goturkiye.com/)
02:26:21	11096/11096	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2277c7777db7f2c856c2c735596453a6db%22	https://cdn.goturkiye.com/goturkiye/dark-logo.svg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/dark-logo.svg	(from https://goturkiye.com/)
02:26:22	46714/46714	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2020:26:21%20GMT	https://goturkiye.com/turkiyes-sustainable-tourism-program	/Users/huayuangroup/websites/Goturkeye/goturkiye.com/turkiyes-sustainable-tourism-program.html	(from https://goturkiye.com/)
02:26:23	62854/62854	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2020:26:22%20GMT	https://goturkiye.com/sustainable-destinations	/Users/huayuangroup/websites/Goturkeye/goturkiye.com/sustainable-destinations.html	(from https://goturkiye.com/)
02:26:24	45565/45565	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2020:26:23%20GMT	https://goturkiye.com/sustainable-experiences	/Users/huayuangroup/websites/Goturkeye/goturkiye.com/sustainable-experiences.html	(from https://goturkiye.com/)
02:26:25	31318/31318	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2020:26:24%20GMT	https://goturkiye.com/sustainability	/Users/huayuangroup/websites/Goturkeye/goturkiye.com/sustainability.html	(from https://goturkiye.com/)
02:26:26	121057/121057	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2020:26:25%20GMT	https://goturkiye.com/all-turkiye-destinations	/Users/huayuangroup/websites/Goturkeye/goturkiye.com/all-turkiye-destinations.html	(from https://goturkiye.com/)
02:26:27	73705/73705	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2020:26:26%20GMT	https://goturkiye.com/all-turkiye-experiences	/Users/huayuangroup/websites/Goturkeye/goturkiye.com/all-turkiye-experiences.html	(from https://goturkiye.com/)
